,Close
2019-04-10,18.27
2019-04-11,17.64
2019-04-12,18.43
2019-04-13,18.73
2019-04-14,19.5
2019-04-15,19.3
2019-04-16,19.77
2019-04-17,19.6
2019-04-18,22.02
2019-04-19,24.5
2019-04-20,25.03
2019-04-21,24.24
2019-04-22,23.96
2019-04-23,22.72
2019-04-24,23.19
2019-04-25,22.21
2019-04-26,22.73
2019-04-27,22.17
2019-04-28,22.85
2019-04-29,21.67
2019-04-30,22.17
2019-05-01,21.89
2019-05-02,23.64
2019-05-03,23.63
2019-05-04,22.92
2019-05-05,23.05
2019-05-06,22.21
2019-05-07,20.58
2019-05-08,20.68
2019-05-09,18.79
2019-05-10,19.58
2019-05-11,21.09
2019-05-12,20.97
2019-05-13,23.58
2019-05-14,23.7
2019-05-15,26.83
2019-05-16,26.33
2019-05-17,25.85
2019-05-18,28.88
2019-05-19,29.32
2019-05-20,29.47
2019-05-21,32.57
2019-05-22,30.93
2019-05-23,31.54
2019-05-24,34.3
2019-05-25,35.3
2019-05-26,33.59
2019-05-27,33.66
2019-05-28,33.57
2019-05-29,33.88
2019-05-30,31.66
2019-05-31,32.89
2019-06-01,33.35
2019-06-02,33.25
2019-06-03,30.78
2019-06-04,29.2
2019-06-05,30.95
2019-06-06,31.25
2019-06-07,31.46
2019-06-08,31.88
2019-06-09,30.21
2019-06-10,32.17
2019-06-11,32.07
2019-06-12,35.04
2019-06-13,35.19
2019-06-14,32.55
2019-06-15,32.86
2019-06-16,32.25
2019-06-17,33.95
2019-06-18,34.43
2019-06-19,35.28
2019-06-20,36.95
2019-06-21,38.88
2019-06-22,37.8
2019-06-23,37.08
2019-06-24,37.46
2019-06-25,35.83
2019-06-26,35.52
2019-06-27,33.9
2019-06-28,34.46
2019-06-29,35.45
2019-06-30,31.97
2019-07-01,33.15
2019-07-02,31.99
2019-07-03,32.63
2019-07-04,33.02
2019-07-05,32.66
2019-07-06,32.54
2019-07-07,33.14
2019-07-08,33.47
2019-07-09,32.52
2019-07-10,31.24
2019-07-11,29.42
2019-07-12,32.01
2019-07-13,31.48
2019-07-14,28.62
