,Close
2019-04-10,5318.6
2019-04-11,5048.56
2019-04-12,5081.5
2019-04-13,5080.66
2019-04-14,5165.59
2019-04-15,5037.27
2019-04-16,5212.81
2019-04-17,5236.26
2019-04-18,5289.75
2019-04-19,5295.53
2019-04-20,5326.18
2019-04-21,5305.74
2019-04-22,5394.67
2019-04-23,5539.1
2019-04-24,5454.58
2019-04-25,5162.67
2019-04-26,5234.09
2019-04-27,5229.48
2019-04-28,5272.45
2019-04-29,5237.96
2019-04-30,5350.64
2019-05-01,5389.54
2019-05-02,5500.72
2019-05-03,5753.38
2019-05-04,5840.08
2019-05-05,5794.14
2019-05-06,5748.17
2019-05-07,5819.57
2019-05-08,5998.71
2019-05-09,6171.96
2019-05-10,6358.29
2019-05-11,7191.36
2019-05-12,6977.63
2019-05-13,7806.36
2019-05-14,7980.13
2019-05-15,8183.83
2019-05-16,7874.11
2019-05-17,7371.96
2019-05-18,7266.08
2019-05-19,8193.14
2019-05-20,7998.29
2019-05-21,7947.93
2019-05-22,7626.89
2019-05-23,7876.5
2019-05-24,7996.4
2019-05-25,8059.13
2019-05-26,8726.23
2019-05-27,8785.17
2019-05-28,8718.85
2019-05-29,8664.56
2019-05-30,8276.25
2019-05-31,8550.67
2019-06-01,8555.87
2019-06-02,8737.91
2019-06-03,8114.49
2019-06-04,7677.47
2019-06-05,7791.29
2019-06-06,7807.36
2019-06-07,8002.63
2019-06-08,7933.78
2019-06-09,7643.44
2019-06-10,8021.0
2019-06-11,7917.32
2019-06-12,8174.14
2019-06-13,8235.57
2019-06-14,8693.96
2019-06-15,8853.56
2019-06-16,8979.18
2019-06-17,9336.01
2019-06-18,9081.71
2019-06-19,9280.54
2019-06-20,9536.85
2019-06-21,10218.87
2019-06-22,10689.54
2019-06-23,10855.99
2019-06-24,11035.74
2019-06-25,11740.34
2019-06-26,12913.28
2019-06-27,11154.09
2019-06-28,12355.06
2019-06-29,11884.1
2019-06-30,10769.05
2019-07-01,10591.87
2019-07-02,10844.13
2019-07-03,11981.61
2019-07-04,11156.52
2019-07-05,10993.25
2019-07-06,11248.94
2019-07-07,11474.28
2019-07-08,12296.16
2019-07-09,12567.02
2019-07-10,12099.12
2019-07-11,11343.12
2019-07-12,11797.37
2019-07-13,11363.97
2019-07-14,10204.41
2019-07-15,10850.26
2019-07-16,9423.44
2019-07-17,9696.15
2019-07-18,10638.35
2019-07-19,10532.94
2019-07-20,10759.42
2019-07-21,10586.71
2019-07-22,10325.87
2019-07-23,9854.15
2019-07-24,9772.14
2019-07-25,9882.43
2019-07-26,9847.45
2019-07-27,9478.32
2019-07-28,9531.77
2019-07-29,9506.93
2019-07-30,9595.52
2019-07-31,10089.25
2019-08-01,10409.79
2019-08-02,10528.99
2019-08-03,10820.41
2019-08-04,10978.91
2019-08-05,11807.96
2019-08-06,11467.1
2019-08-07,11974.28
2019-08-08,11982.8
2019-08-09,11865.21
2019-08-10,11293.59
2019-08-11,11549.06
2019-08-12,11387.41
2019-08-13,10872.0
2019-08-14,10031.89
2019-08-15,10308.51
2019-08-16,10360.43
2019-08-17,10220.75
2019-08-18,10326.25
2019-08-19,10922.16
2019-08-20,10770.76
2019-08-21,10131.67
2019-08-22,10104.11
2019-08-23,10410.49
2019-08-24,10150.07
2019-08-25,10141.75
2019-08-26,10364.91
2019-08-27,10175.47
2019-08-28,9722.83
2019-08-29,9492.81
2019-08-30,9587.25
2019-08-31,9624.54
2019-09-01,9768.36
2019-09-02,10387.5
2019-09-03,10625.1
2019-09-04,10585.2
2019-09-05,10556.16
2019-09-06,10309.91
2019-09-07,10491.96
2019-09-08,10420.88
2019-09-09,10314.88
2019-09-10,10109.46
2019-09-11,10165.01
2019-09-12,10428.96
2019-09-13,10372.29
2019-09-14,10365.56
2019-09-15,10313.02
2019-09-16,10271.79
2019-09-17,10198.62
2019-09-18,10163.38
2019-09-19,10281.03
2019-09-20,10176.38
2019-09-21,9988.38
2019-09-22,10036.98
2019-09-23,9694.6
2019-09-24,8542.54
2019-09-25,8446.97
2019-09-26,8074.99
2019-09-27,8201.36
2019-09-28,8223.65
2019-09-29,8065.26
2019-09-30,8314.62
2019-10-01,8326.64
2019-10-02,8391.52
2019-10-03,8246.3
2019-10-04,8168.05
2019-10-05,8172.48
2019-10-06,7868.31
2019-10-07,8215.11
2019-10-08,8191.87
2019-10-09,8593.16
2019-10-10,8596.57
2019-10-11,8278.05
2019-10-12,8316.66
2019-10-13,8296.34
2019-10-14,8363.94
2019-10-15,8173.48
2019-10-16,8014.39
2019-10-17,8082.46
2019-10-18,7972.62
2019-10-19,7973.63
2019-10-20,8247.25
2019-10-21,8223.25
2019-10-22,8034.5
2019-10-23,7479.54
2019-10-24,7444.2
2019-10-25,8671.1
2019-10-26,9258.98
2019-10-27,9550.6
2019-10-28,9222.23
2019-10-29,9432.86
2019-10-30,9169.86
2019-10-31,9157.52
2019-11-01,9260.59
2019-11-02,9311.99
2019-11-03,9221.61
2019-11-04,9421.54
2019-11-05,9323.61
2019-11-06,9347.27
2019-11-07,9208.52
2019-11-08,8772.31
2019-11-09,8822.19
2019-11-10,9045.85
2019-11-11,8726.31
2019-11-12,8815.14
2019-11-13,8773.82
2019-11-14,8640.42
2019-11-15,8468.57
2019-11-16,8498.94
2019-11-17,8515.28
2019-11-18,8190.16
2019-11-19,8133.57
2019-11-20,8093.6
2019-11-21,7632.59
2019-11-22,7292.2
2019-11-23,7339.24
2019-11-24,6930.09
2019-11-25,7138.23
2019-11-26,7170.11
2019-11-27,7531.5
2019-11-28,7442.33
2019-11-29,7769.38
2019-11-30,7571.77
2019-12-01,7420.53
2019-12-02,7320.94
2019-12-03,7313.64
2019-12-04,7207.78
2019-12-05,7406.75
2019-12-06,7558.58
2019-12-07,7514.86
2019-12-08,7539.7
2019-12-09,7350.62
2019-12-10,7233.84
2019-12-11,7212.01
2019-12-12,7199.39
2019-12-13,7261.72
2019-12-14,7080.29
2019-12-15,7132.39
2019-12-16,6897.33
2019-12-17,6635.84
2019-12-18,7294.53
2019-12-19,7159.26
2019-12-20,7203.41
2019-12-21,7159.47
2019-12-22,7517.58
2019-12-23,7326.6
2019-12-24,7260.91
2019-12-25,7202.72
2019-12-26,7207.23
2019-12-27,7253.82
2019-12-28,7316.23
2019-12-29,7399.49
2019-12-30,7234.44
2019-12-31,7183.88
2020-01-01,7189.94
2020-01-02,6965.72
2020-01-03,7339.7
2020-01-04,7357.5
2020-01-05,7359.96
2020-01-06,7762.69
2020-01-07,8160.36
2020-01-08,8045.15
2020-01-09,7817.35
2020-01-10,8190.31
2020-01-11,8024.58
2020-01-12,8181.49
2020-01-13,8106.56
2020-01-14,8820.95
2020-01-15,8813.21
2020-01-16,8719.63
2020-01-17,8894.83
2020-01-18,8909.28
2020-01-19,8702.59
2020-01-20,8634.03
2020-01-21,8724.84
2020-01-22,8667.26
2020-01-23,8394.28
2020-01-24,8431.78
2020-01-25,8345.88
2020-01-26,8602.37
2020-01-27,8898.94
2020-01-28,9391.97
2020-01-29,9286.18
2020-01-30,9501.38
2020-01-31,9342.23
2020-02-01,9384.45
2020-02-02,9334.25
2020-02-03,9288.96
2020-02-04,9171.98
2020-02-05,9611.42
2020-02-06,9755.84
2020-02-07,9808.36
2020-02-08,9898.25
2020-02-09,10157.78
2020-02-10,9858.03
2020-02-11,10269.43
2020-02-12,10347.93
